experiment,feature_count,pr_auc,roc_auc,brier_score,precision_at_50,recall_at_50,f1_at_50,fp_at_50,fn_at_50,total_loss_at_50,optimal_tau,opt_precision,opt_recall,opt_f1,opt_fp,opt_fn,opt_total_loss,opt_net_savings
Model A: Behavioral-Only (LogReg),21,0.9973,0.9998,0.0076,0.8705,0.9974,0.9296,57,1,620.0,0.8,0.9525,0.9922,0.9719,19,3,340.0,18860.0
Model B: Graph-Only (LogReg),12,0.9511,0.9903,0.0241,0.7172,0.9115,0.8028,138,34,3080.0,0.85,0.9774,0.901,0.9377,8,38,1980.0,17220.0
Model C: Combined (LogReg),33,0.9982,0.9999,0.0052,0.9163,0.9974,0.9551,35,1,400.0,0.75,0.9647,0.9974,0.9808,14,1,190.0,19010.0
Model D: No Account Age (LogReg),32,0.9975,0.9998,0.0044,0.9319,0.9974,0.9635,28,1,330.0,0.55,0.9364,0.9974,0.966,26,1,310.0,18890.0
Model E: No Age & No Email (LogReg),31,0.9968,0.9997,0.0047,0.9268,0.9896,0.9572,30,4,500.0,0.45,0.9183,0.9948,0.955,34,2,440.0,18760.0
Model F: Combined (Tree-GBDT),33,0.9996,1.0,0.0016,0.9722,1.0,0.9859,11,0,110.0,0.9,0.9871,1.0,0.9935,5,0,50.0,19150.0
